Namespace(exp_name='exp', model='dgcnn', dataset='S3DIS', test_area='2', batch_size=16, test_batch_size=8, epochs=100, use_sgd=False, lr=0.001, step_size=10, lr_decay=0.7, momentum=0.9, scheduler='cos', no_cuda=False, seed=1, eval=False, num_points=4096, dropout=0.5, emb_dims=1024, k=20)
Train 33, loss: 0.044195, train acc: 0.984806, train avg acc: 0.983589, train iou: 0.967245
Test 33, loss: 0.050148, test acc: 0.982798, test avg acc: 0.982865, test iou: 0.965820
Train 34, loss: 0.045251, train acc: 0.984487, train avg acc: 0.983315, train iou: 0.966644
Test 34, loss: 0.046291, test acc: 0.983241, test avg acc: 0.982597, test iou: 0.966460
Train 35, loss: 0.045210, train acc: 0.984567, train avg acc: 0.983383, train iou: 0.966796
Test 35, loss: 0.056256, test acc: 0.980617, test avg acc: 0.979857, test iou: 0.961487
Train 36, loss: 0.045027, train acc: 0.984664, train avg acc: 0.983472, train iou: 0.966976
Test 36, loss: 0.042624, test acc: 0.985466, test avg acc: 0.985831, test iou: 0.970958
Train 37, loss: 0.043942, train acc: 0.984937, train avg acc: 0.983713, train iou: 0.967475
Test 37, loss: 0.045843, test acc: 0.985039, test avg acc: 0.984633, test iou: 0.970441
Train 38, loss: 0.044782, train acc: 0.984738, train avg acc: 0.983542, train iou: 0.967138
Test 38, loss: 0.041698, test acc: 0.986249, test avg acc: 0.986416, test iou: 0.972542
Train 39, loss: 0.043481, train acc: 0.985061, train avg acc: 0.983881, train iou: 0.967738
Test 39, loss: 0.038836, test acc: 0.987205, test avg acc: 0.986643, test iou: 0.974364
Train 40, loss: 0.045412, train acc: 0.984463, train avg acc: 0.983248, train iou: 0.966506
Test 40, loss: 0.038990, test acc: 0.986732, test avg acc: 0.986191, test iou: 0.973445
Train 41, loss: 0.044584, train acc: 0.984717, train avg acc: 0.983501, train iou: 0.967032
Test 41, loss: 0.035649, test acc: 0.987775, test avg acc: 0.987679, test iou: 0.975585
Train 42, loss: 0.043852, train acc: 0.984925, train avg acc: 0.983738, train iou: 0.967472
Test 42, loss: 0.034124, test acc: 0.988762, test avg acc: 0.988542, test iou: 0.977519
Train 43, loss: 0.043363, train acc: 0.985153, train avg acc: 0.983948, train iou: 0.967923
Test 43, loss: 0.039290, test acc: 0.986457, test avg acc: 0.986169, test iou: 0.972803
Train 44, loss: 0.043614, train acc: 0.985012, train avg acc: 0.983832, train iou: 0.967671
Test 44, loss: 0.047890, test acc: 0.985889, test avg acc: 0.985195, test iou: 0.971923
Train 45, loss: 0.043487, train acc: 0.985124, train avg acc: 0.983977, train iou: 0.967924
Test 45, loss: 0.037917, test acc: 0.986738, test avg acc: 0.986367, test iou: 0.973253
Train 46, loss: 0.043398, train acc: 0.985183, train avg acc: 0.983974, train iou: 0.967971
Test 46, loss: 0.037065, test acc: 0.987274, test avg acc: 0.987390, test iou: 0.974529
Train 47, loss: 0.044183, train acc: 0.984903, train avg acc: 0.983781, train iou: 0.967531
Test 47, loss: 0.036377, test acc: 0.988035, test avg acc: 0.987810, test iou: 0.976055
Train 48, loss: 0.044578, train acc: 0.984838, train avg acc: 0.983683, train iou: 0.967349
Test 48, loss: 0.033450, test acc: 0.988433, test avg acc: 0.988414, test iou: 0.976820
Train 49, loss: 0.043063, train acc: 0.985350, train avg acc: 0.984217, train iou: 0.968414
Test 49, loss: 0.039589, test acc: 0.987833, test avg acc: 0.987538, test iou: 0.975779
Train 50, loss: 0.043539, train acc: 0.985133, train avg acc: 0.983959, train iou: 0.967920
Test 50, loss: 0.037026, test acc: 0.987694, test avg acc: 0.987490, test iou: 0.975427
Train 51, loss: 0.042852, train acc: 0.985443, train avg acc: 0.984270, train iou: 0.968577
Test 51, loss: 0.035298, test acc: 0.988232, test avg acc: 0.987827, test iou: 0.976503
Train 52, loss: 0.043522, train acc: 0.985100, train avg acc: 0.983944, train iou: 0.967893
Test 52, loss: 0.034961, test acc: 0.988462, test avg acc: 0.988529, test iou: 0.976930
Train 53, loss: 0.043768, train acc: 0.985063, train avg acc: 0.983923, train iou: 0.967824
Test 53, loss: 0.035441, test acc: 0.988028, test avg acc: 0.988105, test iou: 0.976062
Train 54, loss: 0.043927, train acc: 0.985019, train avg acc: 0.983850, train iou: 0.967707
Test 54, loss: 0.042842, test acc: 0.987185, test avg acc: 0.987321, test iou: 0.974456
Train 55, loss: 0.043917, train acc: 0.984949, train avg acc: 0.983818, train iou: 0.967620
Test 55, loss: 0.041596, test acc: 0.986358, test avg acc: 0.985647, test iou: 0.972698
Train 56, loss: 0.042567, train acc: 0.985523, train avg acc: 0.984407, train iou: 0.968732
Test 56, loss: 0.055253, test acc: 0.981937, test avg acc: 0.981080, test iou: 0.964049
Train 57, loss: 0.043465, train acc: 0.985184, train avg acc: 0.984058, train iou: 0.968078
Test 57, loss: 0.043969, test acc: 0.985092, test avg acc: 0.985717, test iou: 0.970304
Train 58, loss: 0.043723, train acc: 0.985058, train avg acc: 0.983891, train iou: 0.967771
Test 58, loss: 0.047177, test acc: 0.983604, test avg acc: 0.983436, test iou: 0.967179
Train 59, loss: 0.043151, train acc: 0.985222, train avg acc: 0.984071, train iou: 0.968132
Test 59, loss: 0.034994, test acc: 0.988397, test avg acc: 0.988156, test iou: 0.976764
Train 60, loss: 0.042497, train acc: 0.985452, train avg acc: 0.984325, train iou: 0.968635
Test 60, loss: 0.036816, test acc: 0.987358, test avg acc: 0.987124, test iou: 0.974695
Train 61, loss: 0.042509, train acc: 0.985452, train avg acc: 0.984305, train iou: 0.968623
Test 61, loss: 0.036932, test acc: 0.987819, test avg acc: 0.987977, test iou: 0.975759
Train 62, loss: 0.042964, train acc: 0.985330, train avg acc: 0.984193, train iou: 0.968362
Test 62, loss: 0.038201, test acc: 0.986914, test avg acc: 0.986700, test iou: 0.973822
Train 63, loss: 0.043072, train acc: 0.985307, train avg acc: 0.984194, train iou: 0.968349
Test 63, loss: 0.033874, test acc: 0.988660, test avg acc: 0.988714, test iou: 0.977300
Train 64, loss: 0.042239, train acc: 0.985609, train avg acc: 0.984396, train iou: 0.968848
Test 64, loss: 0.035574, test acc: 0.987954, test avg acc: 0.987831, test iou: 0.975766
Train 65, loss: 0.042704, train acc: 0.985407, train avg acc: 0.984277, train iou: 0.968514
Test 65, loss: 0.035352, test acc: 0.988210, test avg acc: 0.988191, test iou: 0.976410
Train 66, loss: 0.042479, train acc: 0.985448, train avg acc: 0.984265, train iou: 0.968541
Test 66, loss: 0.039687, test acc: 0.985821, test avg acc: 0.986152, test iou: 0.971755
Train 67, loss: 0.043479, train acc: 0.985211, train avg acc: 0.984099, train iou: 0.968097
Test 67, loss: 0.036289, test acc: 0.987995, test avg acc: 0.987903, test iou: 0.976005
Train 68, loss: 0.042088, train acc: 0.985658, train avg acc: 0.984503, train iou: 0.969006
Test 68, loss: 0.036198, test acc: 0.987839, test avg acc: 0.987737, test iou: 0.975630
